U+3DF3	㷳
U+3DF7	㷷
U+3DF8	㷸
U+3DFC	㷼
U+3DFE	㷾
U+3DFF	㷿
U+3E00	㸀
U+3E0A	㸊
U+3E10	㸐
U+3E16	㸖
U+3E18	㸘
U+3E1C	㸜
U+3E1D	㸝
U+3E1E	㸞
U+3E23	㸣
U+3E25	㸥
U+3E27	㸧
U+3E28	㸨
U+3E29	㸩
U+3E30	㸰
U+3E31	㸱
U+3E32	㸲
U+3E36	㸶
U+3E37	㸷
U+3E38	㸸
U+3E3E	㸾
U+3E40	㹀
U+3E42	㹂
U+3E47	㹇
U+3E49	㹉
U+3E4B	㹋
U+3E4F	㹏
U+3E50	㹐
U+3E51	㹑
U+3E53	㹓
U+3E55	㹕
U+3E58	㹘
U+3E59	㹙
U+3E5A	㹚
U+3E5B	㹛
U+3E5C	㹜
U+3E5E	㹞
U+3E61	㹡
U+3E67	㹧
U+3E68	㹨
U+3E6B	㹫
U+3E6D	㹭
U+3E6E	㹮
U+3E6F	㹯
U+3E72	㹲
U+3E75	㹵
U+3E78	㹸
U+3E7A	㹺
U+3E7E	㹾
U+3E7F	㹿
U+3E80	㺀
U+3E82	㺂
U+3E84	㺄
U+3E89	㺉
U+3E8A	㺊
U+3E8B	㺋
U+3E8E	㺎
U+3E8F	㺏
U+3E90	㺐
U+3E91	㺑
U+3E93	㺓
U+3E94	㺔
U+3E95	㺕
U+3E96	㺖
U+3E98	㺘
U+3E9A	㺚
U+3E9D	㺝
U+3E9E	㺞
U+3E9F	㺟
U+3EA0	㺠
U+3EA6	㺦
U+3EAB	㺫
U+3EAE	㺮
U+3EB1	㺱
U+3EB2	㺲
U+3EBF	㺿
U+3EC0	㻀
U+3ED1	㻑
U+3ED2	㻒
U+3ED3	㻓
U+3ED7	㻗
U+3EE0	㻠
U+3EEA	㻪
U+3EEC	㻬
U+3EEF	㻯
U+3EF1	㻱
U+3EF8	㻸
U+3EFD	㻽
U+3EFE	㻾
U+3F02	㼂
U+3F14	㼔
U+3F16	㼖
U+3F19	㼙
U+3F1B	㼛
U+3F1E	㼞
U+3F22	㼢
U+3F2B	㼫
U+3F2D	㼭
U+3F2F	㼯
U+3F31	㼱
U+3F32	㼲
U+3F33	㼳
U+3F34	㼴
U+3F35	㼵
U+3F36	㼶
U+3F38	㼸
U+3F3D	㼽
U+3F40	㽀
U+3F42	㽂
U+3F47	㽇
U+3F48	㽈
U+3F49	㽉
U+3F4A	㽊
U+3F50	㽐
U+3F55	㽕
U+3F56	㽖
U+3F58	㽘
U+3F5B	㽛
U+3F5C	㽜
U+3F60	㽠
U+3F66	㽦
U+3F68	㽨
U+3F69	㽩
U+3F6B	㽫
U+3F6D	㽭
U+3F72	㽲
U+3F78	㽸
U+3F7E	㽾
U+3F7F	㽿
U+3F81	㾁
U+3F8A	㾊
U+3F8B	㾋
U+3F8D	㾍
U+3F8E	㾎
U+3F8F	㾏
U+3F92	㾒
U+3F95	㾕
U+3F99	㾙
U+3F9E	㾞
U+3FA0	㾠
U+3FA3	㾣
U+3FA6	㾦
U+3FA8	㾨
U+3FB4	㾴
U+3FBE	㾾
U+3FC4	㿄
U+3FC5	㿅
U+3FC8	㿈
U+3FCA	㿊
U+3FCC	㿌
U+3FCE	㿎
U+3FD1	㿑
U+3FD2	㿒
U+3FD5	㿕
U+3FD8	㿘
U+3FDF	㿟
U+3FE2	㿢
U+3FE5	㿥
U+3FE7	㿧
U+3FEA	㿪
U+3FEE	㿮
U+3FEF	㿯
U+3FF0	㿰
U+3FF1	㿱
U+3FF2	㿲
U+3FF5	㿵
U+3FFC	㿼
U+3FFD	㿽
U+4000	䀀
U+4001	䀁
U+4005	䀅
U+4008	䀈
U+400A	䀊
U+400F	䀏
U+4014	䀔
U+4015	䀕
U+4018	䀘
U+401B	䀛
U+401C	䀜
U+401F	䀟
U+4027	䀧
U+4028	䀨
U+402F	䀯
U+4033	䀳
U+4034	䀴
U+4038	䀸
U+4039	䀹
U+403C	䀼
U+403D	䀽
U+403F	䀿
U+4044	䁄
U+4046	䁆
U+4047	䁇
U+4048	䁈
U+4049	䁉
U+404C	䁌
U+404F	䁏
U+4050	䁐
U+4051	䁑
U+4052	䁒
U+4056	䁖
U+4058	䁘
U+4059	䁙
U+405B	䁛
U+405D	䁝
U+4064	䁤
U+4068	䁨
U+4069	䁩
U+406B	䁫
U+4070	䁰
U+4071	䁱
U+4075	䁵
U+4078	䁸
U+4079	䁹
U+4081	䂁
U+4084	䂄
U+4085	䂅
U+4086	䂆
U+4087	䂇
U+4089	䂉
U+408A	䂊
U+4090	䂐
U+4092	䂒
U+4094	䂔
U+4095	䂕
U+4097	䂗
U+4098	䂘
U+409A	䂚
U+409B	䂛
U+409C	䂜
U+409D	䂝
U+40A0	䂠
U+40A7	䂧
U+40A9	䂩
U+40AB	䂫
U+40AD	䂭
U+40B1	䂱
U+40B4	䂴
U+40B9	䂹
U+40BB	䂻
U+40BC	䂼
U+40BE	䂾
U+40CB	䃋
U+40D2	䃒
U+40D3	䃓
U+40D7	䃗
U+40DA	䃚
U+40DB	䃛
U+40DC	䃜
U+40DD	䃝
U+40E2	䃢
U+40E9	䃩
U+40EC	䃬
U+40F1	䃱
U+40F7	䃷
U+40F8	䃸
U+4101	䄁
U+4103	䄃
U+4104	䄄
U+4108	䄈
U+410B	䄋
U+410E	䄎
U+410F	䄏
U+4112	䄒
U+4113	䄓
U+4118	䄘
U+411B	䄛
U+411D	䄝
U+4120	䄠
U+4127	䄧
U+4128	䄨
U+4129	䄩
U+412A	䄪
U+412C	䄬
U+4132	䄲
U+4136	䄶
U+413E	䄾
U+413F	䄿
U+4142	䅂
U+4144	䅄
U+4148	䅈
U+414A	䅊
U+414B	䅋
U+414E	䅎
U+414F	䅏
U+4150	䅐
U+4151	䅑
U+4157	䅗
U+4159	䅙
U+415A	䅚
U+415E	䅞
U+4160	䅠
U+4162	䅢
U+4164	䅤
U+4165	䅥
U+4166	䅦
U+4167	䅧
U+416C	䅬
U+4171	䅱
U+4173	䅳
U+4176	䅶
U+4178	䅸
U+4179	䅹
U+417C	䅼
U+4184	䆄
U+418F	䆏
U+4191	䆑
U+4193	䆓
U+4195	䆕
